"","Marital_Status","Income","Dt_Customer","Recency","MntWines","MntFruits","MntMeatProducts","MntFishProducts","MntSweetProducts","MntGoldProds","NumDealsPurchases","NumWebPurchases","NumCatalogPurchases","NumStorePurchases","NumWebVisitsMonth","AcceptedCmp3","AcceptedCmp4","AcceptedCmp5","AcceptedCmp1","AcceptedCmp2","Complain","Response","ttlspend","ttlnum","age","child","familymember","Education_Master","Education_PhD","Education_undergraduate"
"1",1,58138,3576,58,635,88,546,172,88,88,3,8,10,4,7,0,0,0,0,0,0,1,1617,22,45,0,1,0,0,0
"2",1,46344,3026,38,11,1,6,2,1,6,2,1,1,2,5,0,0,0,0,0,0,0,27,4,48,2,3,0,0,0
"3",2,71613,3225,26,426,49,127,111,21,42,1,8,2,10,4,0,0,0,0,0,0,0,776,20,37,0,2,0,0,0
"4",2,26646,3052,26,11,4,20,10,3,5,2,2,0,4,6,0,0,0,0,0,0,0,53,6,18,1,3,0,0,0
"5",2,58293,3074,94,173,43,118,46,27,15,5,5,3,6,5,0,0,0,0,0,0,0,422,14,21,1,3,0,1,0
"6",2,62513,3206,16,520,42,98,0,42,14,2,6,4,10,6,0,0,0,0,0,0,0,716,20,35,1,3,1,0,0
"7",1,55635,3506,34,235,65,164,50,49,27,4,7,3,7,6,0,0,0,0,0,0,0,590,17,31,1,2,0,0,0
"8",2,33454,3330,32,76,10,56,3,1,23,2,4,0,4,8,0,0,0,0,0,0,0,169,8,17,1,3,0,1,0
"9",2,30351,3301,19,14,0,24,3,3,2,1,3,0,2,9,0,0,0,0,0,0,1,46,5,28,1,3,0,1,0
"10",2,5648,3021,68,28,0,6,1,1,13,1,1,0,0,20,1,0,0,0,0,0,0,49,1,52,2,4,0,1,0
"11",2,7500,3506,59,6,16,11,11,1,16,1,2,0,3,8,0,0,0,0,0,0,0,61,5,26,0,2,0,0,1
"12",1,63033,3139,82,194,61,480,225,112,30,1,3,4,8,2,0,0,0,0,0,0,0,1102,15,43,0,1,0,0,0
"13",1,59354,3139,53,233,2,53,3,5,14,3,6,1,5,6,0,0,0,0,0,0,0,310,12,50,2,3,1,0,0
"14",2,17323,3540,38,3,14,17,6,1,5,1,1,0,3,8,0,0,0,0,0,0,0,46,4,15,0,2,0,0,0
"15",1,82800,3495,23,1006,22,115,59,68,45,1,7,6,12,3,0,0,1,1,0,0,1,1315,25,56,0,1,0,1,0
"16",2,41850,3465,51,53,5,19,2,13,4,3,3,0,3,8,0,0,0,0,0,0,0,96,6,22,2,4,0,0,0
"17",2,37760,3580,20,84,5,38,150,12,28,2,4,1,6,7,0,0,0,0,0,0,0,317,11,56,0,2,0,0,0
"18",2,76995,3371,91,1012,80,498,0,16,176,2,11,4,9,5,0,0,0,1,0,0,0,1782,24,53,1,3,1,0,0
"19",1,33812,3516,86,4,17,19,30,24,39,2,2,1,3,6,0,0,0,0,0,0,0,133,6,17,1,2,0,0,1
"20",2,37040,3603,41,86,2,73,69,38,48,1,4,2,5,8,0,0,0,0,0,0,0,316,11,20,0,2,0,0,0
"22",2,58607,3466,63,867,0,86,0,0,19,3,2,3,9,8,0,1,0,0,0,0,0,972,14,53,1,3,0,1,0
"23",2,65324,3082,0,384,0,102,21,32,5,3,6,2,9,4,0,0,0,0,0,0,0,544,17,48,1,3,0,1,0
"24",2,40689,3381,69,270,3,27,39,6,99,7,7,1,5,8,0,0,0,0,0,0,0,444,13,51,1,3,0,0,0
"25",1,18589,3456,89,6,4,25,15,12,13,2,2,1,3,7,0,0,0,0,0,0,0,75,6,33,0,1,0,0,0
"26",2,53359,3311,4,173,4,30,3,6,41,4,5,1,4,7,0,0,0,0,0,0,0,257,10,26,2,4,0,0,0
"27",2,38360,3307,26,36,2,42,20,21,10,2,2,1,4,3,0,0,0,0,0,0,0,131,7,13,1,3,0,0,0
"28",2,84618,3132,96,684,100,801,21,66,0,1,6,9,10,2,0,0,1,0,0,0,0,1672,25,37,0,2,0,1,0
"29",1,10979,2951,34,8,4,10,2,2,4,2,3,0,3,5,0,0,0,0,0,0,0,30,6,13,0,1,1,0,0
"30",2,38620,3327,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,0,318,10,39,0,2,1,0,0
"31",2,40548,3540,31,110,0,5,2,0,3,2,2,1,4,5,0,1,0,0,0,0,0,120,7,32,1,3,0,0,0
"32",1,46610,3521,8,96,12,96,33,22,43,6,4,1,6,6,0,0,0,0,0,0,1,302,11,50,2,3,0,1,0
"33",2,68657,3407,4,482,34,471,119,68,22,1,3,5,9,7,0,0,0,0,0,0,0,1196,17,56,0,2,1,0,0
"34",1,49389,3217,55,40,0,19,2,1,3,1,2,0,3,7,0,0,0,0,0,0,0,65,5,51,2,3,1,0,0
"35",2,67353,3093,37,702,17,151,0,8,35,5,5,6,12,2,0,0,0,0,0,0,0,913,23,32,1,3,0,1,0
"36",2,23718,3213,76,6,3,14,15,7,36,3,3,1,2,7,0,0,0,0,0,0,0,81,6,26,1,3,0,0,1
"37",1,42429,3051,99,55,0,6,2,0,4,2,1,1,3,5,0,0,0,0,0,0,0,67,5,29,1,2,0,0,0
"38",1,48948,3426,53,437,8,206,160,49,42,2,7,10,5,6,1,0,0,0,0,0,1,902,22,59,0,1,0,1,0
"39",2,80011,3339,3,421,76,536,82,178,102,2,8,6,5,4,0,0,0,0,0,0,0,1395,19,22,1,3,0,0,0
"40",2,20559,3387,88,13,1,29,3,0,7,2,2,0,3,8,0,0,0,0,0,0,0,53,5,17,1,3,1,0,0
"41",2,21994,3465,4,9,0,6,3,1,3,1,0,0,3,5,0,0,0,0,0,0,0,22,3,45,1,3,0,0,0
"42",2,7500,3183,19,3,1,10,3,2,12,3,2,0,3,5,0,0,0,0,0,0,0,31,5,27,1,3,1,0,0
"43",1,79941,2914,72,123,164,266,227,30,174,1,2,4,9,1,0,0,0,0,0,0,0,984,15,26,0,1,0,0,0
"44",2,7500,3510,24,3,18,14,15,22,50,3,3,1,3,9,0,0,0,0,0,0,1,122,7,6,0,2,0,0,1
"45",2,41728,3314,92,13,6,15,3,5,13,1,2,0,2,10,0,0,0,0,0,0,0,55,4,34,1,3,0,0,0
"46",2,72550,3511,39,826,50,317,50,38,38,9,5,2,12,8,0,0,0,0,0,0,0,1319,19,48,2,4,0,1,0
"47",1,65486,2961,29,245,19,125,37,67,14,1,4,2,10,2,0,0,0,0,0,0,0,507,16,45,1,2,0,0,0
"48",2,79143,3600,2,650,37,780,27,167,32,1,6,9,13,3,0,0,0,0,0,0,0,1693,28,38,0,2,1,0,0
"49",1,35790,3456,54,12,6,20,30,1,3,2,2,0,3,7,0,0,0,0,0,0,0,72,5,25,1,2,0,0,0
"50",1,82582,2935,54,510,120,550,156,40,241,1,4,9,7,1,1,0,0,1,0,0,1,1617,20,25,0,1,0,0,0
"51",2,66373,3295,57,328,9,124,12,24,109,7,4,2,10,3,0,0,0,0,0,0,0,606,16,24,2,4,0,0,0
"52",2,82384,3500,55,984,51,432,180,120,190,1,3,10,13,1,0,0,1,0,0,0,1,1957,26,47,0,2,1,0,0
"53",1,70287,3366,30,295,35,482,121,120,40,1,5,5,10,3,0,0,0,0,0,0,1,1093,20,36,0,1,0,0,0
"54",1,27938,2975,31,13,0,8,2,1,5,1,1,0,4,3,0,0,0,0,0,0,0,29,5,14,1,2,0,0,0
"55",2,55954,3031,63,447,0,28,0,0,43,3,8,2,6,7,0,0,0,0,0,0,0,518,16,34,1,3,0,1,0
"56",1,75777,3273,12,712,26,538,69,13,80,1,3,6,11,1,0,1,1,0,0,0,1,1438,20,20,0,1,1,0,0
"57",2,66653,3573,18,452,18,102,16,18,6,4,4,2,12,3,0,0,0,0,0,0,0,612,18,27,2,4,0,0,0
"58",1,61823,3409,26,523,7,134,37,14,169,4,8,2,10,7,0,0,0,0,0,0,0,884,20,50,1,2,0,0,0
"59",1,67680,3296,8,546,0,48,0,6,6,1,7,3,8,5,0,0,0,0,0,0,0,606,18,51,1,2,0,1,0
"60",2,70666,3118,29,398,40,367,119,122,30,1,7,4,4,4,0,0,0,0,0,0,0,1076,15,54,0,2,0,0,0
"61",2,25721,3317,75,1,3,6,3,6,15,1,1,1,2,7,0,0,0,0,0,0,1,34,4,31,1,3,0,0,0
"62",2,32474,2962,0,10,0,1,0,0,0,1,1,0,2,7,0,0,0,0,0,0,0,11,3,35,2,4,0,0,0
"63",1,88194,3015,19,688,14,309,201,24,38,1,11,10,10,5,1,0,0,1,0,0,1,1274,31,23,1,2,0,0,1
"64",2,69096,3188,4,247,49,159,7,82,109,1,5,2,10,4,0,0,0,0,0,0,0,653,17,44,1,3,0,0,0
"65",2,74854,3360,90,856,59,487,58,29,73,7,2,5,5,5,0,0,0,0,0,0,0,1562,12,32,3,5,0,0,0
"66",2,66991,3569,1,496,36,460,189,60,12,3,4,8,6,3,0,0,0,0,0,0,0,1253,18,48,0,2,1,0,0
"67",2,65031,3382,29,258,107,291,84,37,86,4,10,3,13,7,0,0,0,0,0,0,0,863,26,43,1,3,0,0,0
"68",2,60631,3363,88,565,6,65,0,6,19,5,9,2,8,7,0,1,0,0,0,0,0,661,19,27,2,4,0,1,0
"69",2,28332,2973,58,14,10,13,4,15,9,1,2,1,4,2,0,0,0,0,0,0,0,65,7,50,0,2,0,0,0
